Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 120.0.0.0,,,24-01-2024 02:44:43,24-01-2024 02:45:04,"21,300s",FAILED
,,,,,,,
Test Cases/Login/Login - Sucess,Chrome 120.0.0.0,,,24-01-2024 02:44:52,24-01-2024 02:44:55,"2,665s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:44:52,24-01-2024 02:44:53,"1,391s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:44:53,24-01-2024 02:44:54,"0,758s",PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina01"")",Chrome 120.0.0.0,,,24-01-2024 02:44:54,24-01-2024 02:44:55,"0,490s",FAILED
,,,,,,,
Test Cases/Login/Login - Unregistered username,Chrome 120.0.0.0,,,24-01-2024 02:45:02,24-01-2024 02:45:04,"2,785s",FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 02:45:02,24-01-2024 02:45:03,"1,487s",PASSED
"navigateToUrl(""https://qa-interview-test-1.vercel.app/"")",Chrome 120.0.0.0,,,24-01-2024 02:45:03,24-01-2024 02:45:04,"0,811s",PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_block px-2 py-3 mt-2 h-52px rounded-l_5154ab""), ""safarina02"")",Chrome 120.0.0.0,,,24-01-2024 02:45:04,24-01-2024 02:45:04,"0,466s",FAILED
